search_id,user_id,search_query,search_date,results_returned,device_type,search_duration_seconds,had_typo,used_filters,location_country,clicked
search_000002,user_08038,stand up comedy,2025-11-22,24,Tablet,63.5,True,False,USA,1
search_000006,user_03478,thriller series,2024-09-18,76,Laptop,7.2,False,True,USA,1
search_000007,user_03800,travel documentaries,2025-10-03,70,Laptop,12.3,False,False,USA,0
search_000009,user_03999,biographies,2025-07-18,7,Laptop,7.0,False,False,USA,0
search_000010,user_06785,movies based on true stories,2025-04-09,31,Smart TV,20.2,False,False,Canada,0
search_000012,user_06311,action movies,2024-09-06,56,Smart TV,10.9,True,False,USA,1
search_000013,user_03850,new releases,2025-03-22,12,Mobile,20.4,False,True,USA,0
search_000015,user_07791,war movies,2024-06-04,28,Laptop,7.9,True,False,USA,0
search_000019,user_04549,family movies,2025-02-15,25,Tablet,51.2,False,True,USA,0
search_000020,user_03172,superhero movies,2024-11-05,65,Smart TV,46.5,False,False,USA,0
search_000022,user_00479,biographies,2025-04-14,50,Laptop,2.6,False,False,USA,1
search_000023,user_09719,documentaries,2024-05-21,100,Smart TV,16.8,False,True,USA,1
search_000024,user_01317,new releases,2025-12-04,16,Tablet,45.8,False,True,USA,1
search_000025,user_03286,superhero movies,2024-03-09,62,Tablet,16.8,False,False,Canada,1
search_000027,user_01208,christmas movies,2024-10-05,8,Mobile,5.9,True,True,USA,1
search_000028,user_05349,netflix originals,2024-06-13,79,Mobile,15.0,False,False,Canada,0
search_000030,user_08098,animated shows,2025-01-17,58,Laptop,16.0,False,False,USA,1
search_000031,user_01890,action movies,2025-02-27,87,Mobile,21.8,False,True,USA,0
search_000032,user_00199,new releases,2024-11-16,44,Smart TV,38.7,False,False,USA,0
search_000033,user_02501,biographies,2025-08-17,99,Laptop,16.8,False,False,Canada,1
search_000034,user_09443,cooking shows,2024-07-13,100,Laptop,11.8,False,False,USA,0
search_000036,user_04884,comedy shows,2025-08-28,68,Smart TV,34.0,False,False,Canada,1
search_000038,user_06921,movies based on true stories,2024-03-05,91,Smart TV,35.9,False,True,USA,0
search_000041,user_00440,thriller series,2025-05-06,20,Laptop,13.7,False,True,USA,1
search_000043,user_02701,best movies 2024,2024-09-09,81,Tablet,34.4,False,False,Canada,1
search_000044,user_09465,music documentaries,2024-08-11,99,Tablet,23.8,False,False,USA,0
search_000048,user_02147,comedy shows,2024-02-06,8,Mobile,18.3,False,False,USA,1
search_000051,user_01306,animated shows,2025-05-11,63,Smart TV,9.2,False,False,USA,1
search_000053,user_04648,christmas movies,2024-05-05,43,Laptop,19.8,False,False,USA,1
search_000056,user_00988,netflix originals,2024-03-25,23,Mobile,20.6,False,False,Canada,1
search_000057,user_02365,music documentaries,2024-05-12,79,Tablet,45.0,False,False,Canada,0
search_000058,user_01701,stand up comedy,2024-12-31,4,Tablet,16.6,False,True,Canada,0
search_000059,user_06416,netflix originals,2024-05-20,57,Tablet,40.9,False,False,Canada,0
search_000061,user_08310,war movies,2024-01-07,71,Tablet,24.5,False,False,USA,0
search_000063,user_07814,drama series,2024-02-20,48,Smart TV,8.9,False,True,USA,1
search_000066,user_07315,horror movies,2025-05-13,8,Laptop,22.2,False,True,USA,0
search_000067,user_02568,thriller series,2024-09-23,33,Mobile,39.8,False,True,Canada,0
search_000070,user_05460,sci-fi,2025-05-30,65,Mobile,22.3,False,False,Canada,1
search_000072,user_04841,sci-fi,2025-07-19,51,Laptop,13.5,False,False,USA,1
search_000073,user_07270,cooking shows,2025-08-20,46,Mobile,15.6,False,False,USA,1
search_000075,user_07551,action movies,2024-04-20,57,Mobile,16.8,False,False,USA,1
search_000076,user_04992,horror movies,2024-06-10,68,Laptop,36.6,False,False,USA,0
search_000078,user_02396,movies like stranger things,2024-12-07,85,Laptop,23.9,False,False,USA,1
search_000079,user_06678,animated shows,2024-10-01,95,Mobile,12.9,False,True,USA,0
search_000080,user_00099,drama series,2025-04-26,21,Smart TV,12.9,False,False,USA,0
search_000081,user_00775,halloween movies,2024-05-30,98,Smart TV,45.8,False,False,Canada,1
search_000082,user_09717,short episodes under 30 minutes,2025-12-28,70,Laptop,17.6,False,False,USA,1
search_000084,user_04470,action movies,2024-08-28,13,Laptop,11.6,False,False,Canada,1
