session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,has_rated
session_000001,user_07271,movie_0511,2025-11-13,Tablet,63.9,34.6,completed,HD,USA,False,0
session_000003,user_05391,movie_0694,2024-12-15,Desktop,572.1,84.7,started,HD,Canada,False,1
session_000005,user_05735,movie_0390,2024-08-04,Tablet,14.6,6.2,completed,HD,USA,False,0
session_000006,user_06266,movie_0631,2024-03-13,Desktop,43.4,63.7,completed,HD,Canada,False,0
session_000008,user_04427,movie_0139,2025-09-13,Laptop,100.4,57.4,paused,4K,USA,False,0
session_000010,user_08323,movie_0577,2025-07-23,Desktop,32.5,74.1,stopped,HD,USA,False,0
session_000011,user_01686,movie_0903,2025-05-17,Smart TV,51.2,62.1,started,HD,USA,False,0
session_000012,user_00770,movie_0427,2025-08-09,Desktop,34.7,69.7,started,HD,USA,False,0
session_000015,user_05312,movie_0861,2025-10-17,Tablet,59.9,30.7,paused,4K,USA,False,1
session_000017,user_06421,movie_0135,2025-11-02,Smart TV,39.3,37.9,started,4K,Canada,True,0
session_000018,user_01185,movie_0671,2025-12-05,Smart TV,51.2,92.0,started,4K,Canada,True,1
session_000020,user_03386,movie_0312,2025-11-05,Tablet,53.0,5.5,paused,HD,USA,False,0
session_000021,user_06397,movie_0129,2025-02-04,Desktop,33.9,25.9,started,HD,Canada,False,0
session_000024,user_02559,movie_0285,2024-11-16,Laptop,74.6,9.3,started,HD,USA,False,0
session_000025,user_07850,movie_0675,2024-10-30,Desktop,54.7,54.3,started,SD,USA,False,0
session_000026,user_02048,movie_0037,2025-11-09,Mobile,30.1,37.7,paused,HD,Canada,False,0
session_000027,user_02748,movie_0778,2025-01-22,Desktop,57.9,6.1,stopped,HD,USA,False,1
session_000028,user_09168,movie_0709,2025-01-19,Laptop,65.2,42.6,stopped,4K,USA,False,0
session_000029,user_09999,movie_0990,2024-11-22,Mobile,33.1,72.2,started,4K,USA,False,0
session_000030,user_00190,movie_0114,2024-07-08,Smart TV,51.2,12.8,stopped,HD,USA,True,0
session_000032,user_03006,movie_0004,2024-11-01,Smart TV,70.6,77.4,completed,SD,USA,False,0
session_000033,user_04659,movie_0711,2025-03-30,Mobile,34.4,64.3,completed,4K,USA,False,1
session_000035,user_07735,movie_0639,2024-09-28,Smart TV,34.7,85.7,stopped,HD,USA,False,0
session_000036,user_01268,movie_0627,2024-11-04,Desktop,38.3,41.7,completed,SD,USA,False,0
session_000038,user_03557,movie_0468,2024-07-11,Desktop,44.2,6.9,stopped,4K,USA,False,0
session_000039,user_03891,movie_0860,2024-04-23,Mobile,97.6,22.6,started,HD,Canada,False,0
session_000042,user_08793,movie_0177,2025-07-01,Desktop,83.9,85.8,completed,4K,Canada,False,0
session_000043,user_08434,movie_0701,2025-07-14,Laptop,19.0,89.9,completed,4K,Canada,True,0
session_000044,user_07514,movie_0142,2025-07-31,Tablet,31.2,73.5,completed,HD,USA,False,0
session_000047,user_09556,movie_0563,2025-11-11,Mobile,28.8,4.7,completed,HD,USA,False,0
session_000048,user_06236,movie_0502,2025-11-29,Laptop,167.5,64.5,paused,HD,USA,False,1
session_000049,user_05487,movie_0031,2024-12-02,Laptop,67.6,90.2,paused,HD,Canada,False,0
session_000050,user_07100,movie_0763,2025-06-16,Smart TV,142.5,60.9,paused,4K,Canada,False,1
session_000051,user_09671,movie_0130,2024-11-19,Mobile,107.1,48.7,paused,HD,USA,True,0
session_000052,user_00776,movie_0968,2024-04-26,Mobile,158.6,49.8,completed,4K,USA,False,0
session_000054,user_03153,movie_0171,2025-05-05,Tablet,51.2,73.3,paused,4K,Canada,False,1
session_000055,user_01586,movie_0253,2025-10-27,Laptop,25.0,34.5,paused,SD,USA,False,1
session_000056,user_03944,movie_0088,2025-07-25,Tablet,74.8,50.2,started,HD,Canada,True,1
session_000057,user_07556,movie_0691,2025-05-07,Laptop,94.3,34.7,completed,4K,USA,False,1
session_000059,user_01022,movie_0779,2025-06-21,Tablet,10.3,20.5,paused,HD,USA,False,0
session_000062,user_09693,movie_0116,2025-02-14,Desktop,25.3,76.4,started,SD,USA,False,0
session_000063,user_06874,movie_0733,2025-04-05,Desktop,45.7,77.1,stopped,HD,USA,False,0
session_000065,user_00162,movie_0926,2025-03-10,Desktop,51.2,61.2,stopped,HD,USA,False,1
session_000066,user_04298,movie_0429,2025-11-27,Laptop,51.2,77.3,paused,HD,USA,False,0
session_000067,user_00996,movie_0711,2025-07-02,Tablet,51.2,49.8,paused,SD,USA,True,0
session_000069,user_09468,movie_0228,2025-10-11,Laptop,18.4,69.9,started,4K,USA,False,0
session_000074,user_06864,movie_0762,2025-03-22,Tablet,31.4,49.7,started,4K,USA,True,0
session_000075,user_07917,movie_0463,2025-04-18,Laptop,172.3,2.6,stopped,HD,USA,True,0
session_000078,user_09269,movie_0856,2025-06-21,Smart TV,107.6,18.2,paused,4K,Canada,False,0
session_000079,user_04888,movie_0061,2024-04-07,Tablet,89.0,49.8,started,4K,Canada,False,0
session_000080,user_04860,movie_0934,2025-12-06,Desktop,51.2,32.3,completed,HD,USA,False,0
session_000081,user_06332,movie_0695,2025-12-02,Tablet,45.2,64.0,started,HD,Canada,False,0
session_000082,user_08572,movie_0653,2024-02-18,Tablet,44.4,35.6,completed,HD,USA,False,0
session_000083,user_08685,movie_0466,2024-03-30,Smart TV,12.3,80.1,stopped,4K,USA,False,1
session_000085,user_05277,movie_0733,2024-02-24,Smart TV,108.1,41.9,stopped,4K,Canada,False,1
session_000086,user_02063,movie_0318,2024-02-03,Mobile,20.9,49.8,stopped,Ultra HD,USA,True,0
session_000087,user_00065,movie_0020,2024-09-11,Laptop,10.6,49.8,stopped,HD,USA,False,0
session_000090,user_05464,movie_0067,2025-02-09,Mobile,39.0,20.3,stopped,HD,Canada,False,1
session_000092,user_02696,movie_0703,2024-01-24,Smart TV,18.1,78.6,completed,HD,Canada,False,0
session_000094,user_05259,movie_0995,2024-05-11,Mobile,32.9,47.6,stopped,HD,USA,False,1
session_000098,user_05893,movie_0777,2025-06-21,Smart TV,80.7,36.6,stopped,HD,USA,False,0
session_000103,user_08393,movie_0176,2024-05-26,Mobile,2.5,64.3,started,SD,USA,False,0
session_000104,user_03105,movie_0529,2025-07-13,Smart TV,51.2,49.8,started,4K,USA,False,1
session_000105,user_07216,movie_0820,2024-05-25,Tablet,78.1,21.4,paused,HD,USA,False,0
session_000106,user_02455,movie_0199,2025-09-23,Smart TV,51.2,46.2,completed,4K,USA,False,1
session_000107,user_08997,movie_0051,2025-02-21,Desktop,21.3,65.3,paused,4K,USA,True,0
session_000110,user_09763,movie_0719,2025-12-02,Desktop,25.2,56.8,paused,HD,USA,False,0
session_000111,user_05057,movie_0450,2025-11-26,Mobile,49.8,9.5,paused,HD,USA,False,0
session_000113,user_03841,movie_0911,2025-09-04,Mobile,105.3,13.3,paused,SD,USA,False,0
