feature,importance
engagement_ratio_7v30,0.4378703634157522
days_since_last_watch,0.33977397743881704
watch_last_30d,0.17104587241418945
total_sessions,0.009245527695522747
avg_completion_rate,0.005480282924276071
segment,0.005087760224185225
monthly_spend,0.004414765918982002
avg_rec_score_seen,0.004052153303011856
tenure_days,0.003895921311341966
avg_search_time,0.0036464361649911478
age,0.0035053341030319074
avg_sentiment_score,0.003435698761797225
total_searches,0.002763123581096294
rec_click_rate,0.0024154812585051523
avg_rating_given,0.0019412195842300624
avg_search_click_rate,0.0014260819002696176
gender,0.0
primary_device,0.0
subscription_plan,0.0
