user_id,age,gender,primary_device,is_active,days_since_last_watch,watch_last_7d,watch_last_30d,engagement_ratio_7v30,total_sessions,total_watch_minutes,avg_completion_rate,watch_decline_ratio,rec_click_rate,avg_rec_score_seen,total_searches,avg_search_time,avg_search_click_rate,avg_rating_given,avg_sentiment_score,tenure_days,monthly_spend,subscription_plan,segment,churn_probability
user_00003,32.0,Female,Desktop,False,190,0.0,0.0,0.0,8,594.1999999999999,43.4375,0.0,0.33333333333333337,0.6398333333333334,0,0.0,0.0,4.0,0.887,831,11.71,Standard,2,1.0
user_01600,45.0,Other,Gaming Console,True,538,0.0,0.0,0.0,2,246.8,34.650000000000006,0.0,0.125,0.45362499999999994,0,0.0,0.0,4.0,0.741,569,6.1,Basic,2,1.0
user_07168,18.0,Male,Desktop,True,274,0.0,0.0,0.0,7,267.1,52.05714285714285,0.0,0.0,0.7193333333333334,0,0.0,0.0,2.0,0.377,380,51.74,Standard,2,0.999
user_01811,43.0,Male,Desktop,True,94,0.0,0.0,0.0,9,1288.5,47.922222222222224,0.0,0.14285714285714288,0.5790000000000001,0,0.0,0.0,3.0,0.669,547,11.36,Premium,0,1.0
user_02216,25.0,Female,Desktop,False,257,0.0,0.0,0.0,9,979.1,48.75555555555557,0.0,0.25,0.5589999999999999,0,0.0,0.0,4.0,0.5994999999999999,579,39.63,Standard,2,1.0
user_07771,38.0,Male,Gaming Console,False,289,0.0,0.0,0.0,8,251.39999999999998,51.787499999999994,0.0,0.0,0.46042857142857146,0,0.0,0.0,3.0,0.502,842,19.02,Standard,2,1.0
user_01671,27.0,Female,Mobile,True,115,0.0,0.0,0.0,6,308.1,52.466666666666676,0.0,0.0,0.3635,0,0.0,0.0,3.0,0.542,1191,17.89,Premium,3,1.0
user_08696,45.0,Male,Mobile,True,121,0.0,0.0,0.0,7,434.59999999999997,69.5,0.0,0.14285714285714285,0.42628571428571427,0,0.0,0.0,4.5,0.877,860,14.8,Standard,3,1.0
user_06485,38.0,Female,Desktop,True,90,0.0,0.0,0.0,6,261.3,55.416666666666664,0.0,1.0,0.553,0,0.0,0.0,5.0,0.843,545,15.94,Premium,3,1.0
user_02713,17.0,Prefer not to say,Desktop,True,130,0.0,0.0,0.0,9,313.79999999999995,49.83333333333333,0.0,0.0,0.3443333333333333,0,0.0,0.0,3.0,0.633,1233,8.99,Premium,2,1.0
user_09211,27.0,Unknown,Laptop,True,123,0.0,0.0,0.0,10,635.4,47.309999999999995,0.0,0.0,0.598,0,0.0,0.0,4.0,0.825,939,6.02,Premium,0,1.0
user_08910,45.0,Female,Mobile,True,70,0.0,0.0,0.0,5,404.70000000000005,45.519999999999996,0.0,0.16666666666666669,0.5608333333333334,0,0.0,0.0,1.5,0.245,577,12.85,Standard,0,1.0
user_07587,22.0,Female,Mobile,True,221,0.0,0.0,0.0,8,360.5,36.3375,0.0,0.33333333333333337,0.3196666666666667,0,0.0,0.0,4.5,0.8494999999999999,751,27.19,Premium,2,0.999
user_00940,47.0,Male,Tablet,True,129,0.0,0.0,0.0,11,582.4000000000001,47.96363636363637,0.0,0.0,0.676142857142857,0,0.0,0.0,3.5,0.618,977,9.59,Standard,1,1.0
user_07025,27.0,Other,Gaming Console,True,119,0.0,0.0,0.0,8,574.1,60.1125,0.0,0.0,0.7386666666666667,0,0.0,0.0,0.0,0.0,464,7.21,Premium,3,1.0
